customer_id,customer_code,full_name,gender,birth_date,email,phone,segment,job_segment,city,province,registration_date,branch_id,is_active,credit_score,estimated_salary
18,CST000018,Olga Siregar,F,1968-04-14,olgasirega131@gmail.com,085150533158,PRIORITY,Pelajar/Mahasiswa,Balikpapan,DI Yogyakarta,2019-08-22,5,False,521,13000000
19,CST000019,Dimas Wahyudi,M,1957-03-23,dimaswahyu755@outlook.com,085734216073,RETAIL,Ibu Rumah Tangga,Pekanbaru,Banten,2014-01-09,8,True,737,15000000
20,CST000020,Gita Hartono,F,1961-03-24,gitaharton360@icloud.com,085785014294,RETAIL,Pelajar/Mahasiswa,Pekanbaru,DI Yogyakarta,2016-04-05,11,True,661,10000000
21,CST000021,Yuli Nasution,F,1972-01-20,yulinasuti46@mail.com,081288356159,RETAIL,TNI/POLRI,Palembang,Bali,2015-09-18,10,True,567,28500000
22,CST000022,Nita Susanto,F,1972-03-18,nitasusant681@mail.com,082199468044,RETAIL,Profesional,Yogyakarta,Riau,2019-06-07,15,True,661,33000000
23,CST000023,Wahyu Kusuma,M,1980-06-17,wahyukusum680@icloud.com,085213433200,RETAIL,Ibu Rumah Tangga,Balikpapan,Kalimantan Selatan,2021-07-24,25,True,612,43000000
24,CST000024,Xander Panjaitan,M,1989-06-13,xanderpanj410@yahoo.com,082101632870,RETAIL,TNI/POLRI,Yogyakarta,Jawa Tengah,2021-02-01,15,True,686,41000000
25,CST000025,Ulfa Safitri,F,1994-09-15,ulfasafitr835@icloud.com,085787277434,RETAIL,Ibu Rumah Tangga,Manado,Jawa Timur,2023-09-28,9,True,765,21000000
26,CST000026,Joko Saputra,M,1983-09-07,jokosaputr83@yahoo.com,082136231665,RETAIL,Pelajar/Mahasiswa,Surabaya,Jawa Timur,2022-02-11,14,True,794,40000000
27,CST000027,Cahyo Safitri,M,1989-02-15,cahyosafit7@outlook.com,085166889373,RETAIL,Ibu Rumah Tangga,Jakarta,Sumatera Selatan,2020-09-12,11,True,808,28500000
28,CST000028,Bagas Mulyono,M,1966-06-14,bagasmulyo547@gmail.com,085799016272,RETAIL,Pelajar/Mahasiswa,Bogor,Jawa Timur,2023-12-16,15,True,789,27000000
29,CST000029,Ulfa Anggraini,F,1992-10-26,ulfaanggra855@gmail.com,085808053100,PRIORITY,Wirausaha,Jakarta,Sulawesi Selatan,2015-08-29,5,True,642,45500000
30,CST000030,Tono Wibowo,M,1996-09-20,tonowibowo786@outlook.com,082199124190,PRIORITY,Pelajar/Mahasiswa,Batam,DI Yogyakarta,2015-10-01,7,True,753,43000000
31,CST000031,Doni Panjaitan,M,1982-01-21,donipanjai825@gmail.com,087805865185,RETAIL,Pelajar/Mahasiswa,Malang,Jawa Barat,2023-06-20,14,False,725,32000000
32,CST000032,Oki Rahayu,M,2001-10-22,okirahayu631@icloud.com,085876945314,PRIORITY,Wirausaha,Yogyakarta,Sulawesi Selatan,2016-01-22,20,True,572,4500000
33,CST000033,Xena Saputra,F,1971-04-25,xenasaputr218@outlook.com,085154948083,RETAIL,Pelajar/Mahasiswa,Malang,Bali,2020-12-08,25,True,643,44000000
34,CST000034,Kartika Lestari,F,1956-07-19,kartikales302@yahoo.com,085734957885,RETAIL,Profesional,Pekanbaru,DI Yogyakarta,2012-02-02,15,True,528,17500000
35,CST000035,Yanuar Wibowo,M,1983-04-23,yanuarwibo761@icloud.com,082133749894,VIP,Wirausaha,Palembang,Jawa Timur,2012-09-06,12,True,407,48000000
36,CST000036,Joko Wijaya,M,1959-11-22,jokowijaya300@yahoo.com,085810947775,RETAIL,PNS,Makassar,Kalimantan Selatan,2022-05-31,16,True,433,28500000
37,CST000037,Rina Nasution,F,1959-10-23,rinanasuti153@icloud.com,085113186999,RETAIL,Pelajar/Mahasiswa,Yogyakarta,Riau,2013-05-27,10,True,619,22500000
38,CST000038,Umar Manurung,M,1963-11-26,umarmanuru641@yahoo.com,085112328120,RETAIL,Ibu Rumah Tangga,Palembang,DKI Jakarta,2014-08-30,8,True,544,47500000
39,CST000039,Rina Harahap,F,1975-12-10,rinaharaha807@icloud.com,082261832421,RETAIL,Pensiunan,Balikpapan,DI Yogyakarta,2015-12-08,19,False,624,10500000
40,CST000040,Sari Nugroho,F,1991-02-10,sarinugroh513@icloud.com,085871906594,RETAIL,Wirausaha,Cirebon,Kalimantan Selatan,2016-02-09,19,True,410,46000000
41,CST000041,Olga Wijaya,F,1970-09-19,olgawijaya532@mail.com,085129671756,RETAIL,TNI/POLRI,Tangerang,Sumatera Utara,2020-07-21,14,True,547,45000000
42,CST000042,Winda Sihombing,F,2004-05-08,windasihom466@gmail.com,085245168087,RETAIL,Wirausaha,Solo,Sumatera Utara,2010-10-28,20,True,720,31000000
43,CST000043,Hendra Hartono,M,2004-04-09,hendrahart950@outlook.com,085871093248,RETAIL,Pelajar/Mahasiswa,Bandung,Jawa Timur,2012-12-09,4,True,460,44000000
44,CST000044,Qori Panjaitan,M,1981-03-08,qoripanjai723@outlook.com,085777378263,PRIORITY,Karyawan Swasta,Bandung,Banten,2021-05-31,25,True,612,24500000
45,CST000045,Winda Santoso,F,1980-05-17,windasanto858@icloud.com,087872787558,RETAIL,Pelajar/Mahasiswa,Yogyakarta,Sumatera Utara,2016-09-11,7,False,522,39500000
46,CST000046,Diana Permata,F,1991-11-08,dianaperma326@mail.com,085762702895,PRIORITY,Ibu Rumah Tangga,Medan,Bali,2010-12-24,15,True,473,29000000
47,CST000047,Eko Gunawan,M,1978-10-11,ekogunawan639@mail.com,081358657809,RETAIL,Pensiunan,Semarang,DI Yogyakarta,2017-08-05,3,True,450,43500000
48,CST000048,Putra Rahayu,M,1981-11-12,putrarahay48@outlook.com,081245562386,RETAIL,Karyawan Swasta,Tangerang,Jawa Tengah,2010-08-26,3,True,595,42500000
49,CST000049,Qori Nasution,M,1967-11-03,qorinasuti473@outlook.com,085840748217,PRIORITY,Pensiunan,Manado,Sumatera Selatan,2015-03-18,23,True,832,22000000
50,CST000050,Nanda Permata,M,1998-05-08,nandaperma243@mail.com,087859440640,RETAIL,PNS,Balikpapan,DI Yogyakarta,2012-05-23,16,True,862,21000000
51,CST000051,Umar Lestari,M,1986-08-10,umarlestar652@yahoo.com,087842104709,RETAIL,Karyawan Swasta,Bandung,Banten,2014-11-30,11,True,489,15500000
52,CST000052,Aditya Siregar,M,1987-10-28,adityasire514@outlook.com,082147451712,RETAIL,Wirausaha,Cirebon,DI Yogyakarta,2021-11-27,22,False,895,38500000
53,CST000053,Rina Lestari,F,1990-05-26,rinalestar271@icloud.com,081375496513,RETAIL,Profesional,Balikpapan,Jawa Timur,2010-04-25,21,True,821,32500000
54,CST000054,Qita Wahyudi,F,1965-06-20,qitawahyud47@gmail.com,085171138267,RETAIL,Pelajar/Mahasiswa,Pontianak,DI Yogyakarta,2013-02-19,24,True,612,44500000
55,CST000055,Bagas Gunawan,M,1991-08-13,bagasgunaw34@outlook.com,082277351585,RETAIL,Pensiunan,Depok,Jawa Barat,2016-04-10,15,True,508,44000000
56,CST000056,Agus Lestari,M,1984-12-02,aguslestar129@icloud.com,082218393352,RETAIL,PNS,Makassar,Kalimantan Selatan,2015-06-19,5,False,676,19000000
57,CST000057,Doni Harahap,M,1957-04-24,doniharaha16@outlook.com,082295024026,RETAIL,TNI/POLRI,Malang,Riau,2012-12-15,25,True,703,9500000
58,CST000058,Maya Setiawan,F,1958-11-21,mayasetiaw309@mail.com,081207661771,PRIORITY,Profesional,Balikpapan,Jawa Tengah,2021-09-11,3,True,719,43500000
59,CST000059,Indah Lubis,F,2002-08-07,indahlubis465@icloud.com,087861183673,RETAIL,Ibu Rumah Tangga,Batam,Sumatera Selatan,2016-08-12,24,True,618,23000000
60,CST000060,Hana Susanto,F,1997-07-19,hanasusant94@gmail.com,081361528098,RETAIL,TNI/POLRI,Denpasar,Sumatera Utara,2011-07-04,22,False,616,49000000
61,CST000061,Kevin Lubis,M,1983-01-12,kevinlubis107@icloud.com,087732731585,RETAIL,Pensiunan,Pontianak,Jawa Timur,2017-11-20,14,True,898,42500000
62,CST000062,Umar Harahap,M,1978-12-29,umarharaha185@outlook.com,085155022961,RETAIL,PNS,Bandung,DI Yogyakarta,2010-08-26,17,True,614,32000000
63,CST000063,Bella Hidayat,F,1982-12-16,bellahiday796@icloud.com,087810229014,RETAIL,Pelajar/Mahasiswa,Malang,Sulawesi Selatan,2017-04-11,15,True,510,35500000
64,CST000064,Maman Wahyudi,M,1964-12-12,mamanwahyu695@icloud.com,085884036900,RETAIL,Wirausaha,Bekasi,Kepulauan Riau,2016-05-09,9,True,461,3000000
65,CST000065,Tini Wahyudi,F,1970-10-06,tiniwahyud390@icloud.com,082288516060,RETAIL,TNI/POLRI,Bogor,Sulawesi Selatan,2012-11-24,14,True,763,43500000
66,CST000066,Feni Prasetyo,F,1991-05-04,fenipraset990@outlook.com,082197516136,RETAIL,TNI/POLRI,Batam,Kalimantan Selatan,2010-06-20,10,True,513,24000000
67,CST000067,Eko Hermawan,M,1965-03-25,ekohermawa523@yahoo.com,085252312432,RETAIL,TNI/POLRI,Tangerang,Kepulauan Riau,2021-11-25,21,True,786,39000000
68,CST000068,Rini Safitri,F,2005-08-23,rinisafitr885@outlook.com,082171774490,RETAIL,TNI/POLRI,Palembang,Riau,2017-04-01,15,True,588,21000000
69,CST000069,Vino Permata,M,1963-02-06,vinopermat609@icloud.com,085779807935,RETAIL,Karyawan Swasta,Surabaya,Riau,2023-10-18,4,True,828,24500000
70,CST000070,Rudi Simanjuntak,M,1970-06-25,rudisimanj254@mail.com,085888925546,RETAIL,Profesional,Cirebon,Sulawesi Selatan,2010-11-17,2,True,731,24000000
71,CST000071,Lukman Prasetyo,M,2005-01-21,lukmanpras291@outlook.com,087825192546,RETAIL,TNI/POLRI,Palembang,Bali,2018-09-02,13,True,568,11000000
72,CST000072,Vino Harahap,M,1992-12-26,vinoharaha371@gmail.com,085242357332,RETAIL,Pensiunan,Medan,Bali,2021-05-28,25,True,778,36500000
73,CST000073,Wahyu Saputra,M,1966-10-04,wahyusaput386@yahoo.com,082129270653,VIP,Pensiunan,Yogyakarta,Jawa Timur,2023-05-25,18,True,894,33000000
74,CST000074,Maman Harahap,M,1994-07-12,mamanharah788@outlook.com,085788623924,RETAIL,Ibu Rumah Tangga,Pekanbaru,Bali,2020-05-10,4,True,664,10500000
75,CST000075,Rina Sihombing,F,1969-05-20,rinasihomb461@icloud.com,082161375060,RETAIL,Profesional,Semarang,Sumatera Selatan,2016-02-13,3,True,414,23000000
76,CST000076,Bagas Panjaitan,M,1985-01-29,bagaspanja141@gmail.com,085172779010,RETAIL,Karyawan Swasta,Banjarmasin,DI Yogyakarta,2013-04-11,20,True,456,21000000
77,CST000077,Kevin Prasetyo,M,1959-04-14,kevinprase430@icloud.com,085811798089,RETAIL,Karyawan Swasta,Palembang,Sumatera Selatan,2015-05-08,1,True,523,39500000
78,CST000078,Bella Harahap,F,1962-09-06,bellaharah999@outlook.com,081388888067,RETAIL,Pelajar/Mahasiswa,Pekanbaru,Banten,2021-09-28,24,True,803,7000000
79,CST000079,Diana Manurung,F,1964-04-19,dianamanur753@outlook.com,082105852772,PRIORITY,TNI/POLRI,Yogyakarta,DKI Jakarta,2023-01-19,10,True,805,15500000
80,CST000080,Lukman Nugroho,M,2001-03-28,lukmannugr835@icloud.com,085840345054,RETAIL,Profesional,Denpasar,Sumatera Selatan,2018-12-07,24,True,889,27500000
81,CST000081,Bella Gunawan,F,1999-08-20,bellagunaw947@icloud.com,085116169284,RETAIL,TNI/POLRI,Bogor,Kalimantan Timur,2018-03-29,10,True,708,48500000
82,CST000082,Bella Panjaitan,F,1994-10-28,bellapanja458@gmail.com,085296401658,PRIORITY,Karyawan Swasta,Jakarta,Jawa Tengah,2017-11-19,20,True,624,5000000
83,CST000083,Eko Setiawan,M,1987-11-12,ekosetiawa393@icloud.com,081292755719,RETAIL,Profesional,Batam,Sumatera Utara,2018-02-14,21,True,891,10000000
84,CST000084,Yanuar Rahayu,M,1999-10-09,yanuarraha397@icloud.com,081344739473,RETAIL,TNI/POLRI,Yogyakarta,Jawa Tengah,2021-08-12,23,True,444,46500000
85,CST000085,Rini Hidayat,F,1960-10-28,rinihidaya556@outlook.com,085122583132,RETAIL,Ibu Rumah Tangga,Jakarta,Sumatera Utara,2022-05-03,18,True,639,38000000
86,CST000086,Umar Safitri,M,1962-09-26,umarsafitr317@mail.com,085886691251,RETAIL,Profesional,Bekasi,Kalimantan Selatan,2011-06-23,25,True,700,14500000
87,CST000087,Oki Hermawan,M,1959-12-21,okihermawa531@yahoo.com,085122535841,RETAIL,Pensiunan,Bekasi,Kalimantan Timur,2012-10-14,10,True,447,35000000
88,CST000088,Tono Nasution,M,1968-10-31,tononasuti675@icloud.com,087859001094,RETAIL,Pelajar/Mahasiswa,Balikpapan,Kalimantan Timur,2013-11-03,1,True,721,37500000
89,CST000089,Qita Nugroho,F,1998-04-30,qitanugroh825@mail.com,085171027677,RETAIL,Karyawan Swasta,Bogor,Kalimantan Selatan,2015-06-30,23,True,840,25000000
90,CST000090,Ayu Sihombing,F,1988-03-29,ayusihombi576@gmail.com,085237147321,RETAIL,Pelajar/Mahasiswa,Balikpapan,Sumatera Selatan,2021-07-20,8,False,861,13000000
91,CST000091,Zara Nasution,F,1983-01-21,zaranasuti782@yahoo.com,085887747016,RETAIL,Wirausaha,Depok,Sulawesi Selatan,2014-04-05,12,True,544,34500000
92,CST000092,Feni Siregar,F,1955-09-25,fenisirega442@yahoo.com,085156506098,RETAIL,Pensiunan,Bandung,Sumatera Selatan,2012-05-30,17,True,681,20500000
93,CST000093,Rizki Prasetyo,M,1990-05-04,rizkiprase814@outlook.com,087752398680,RETAIL,Karyawan Swasta,Bogor,Kepulauan Riau,2018-05-16,16,True,476,41500000
94,CST000094,Lukman Lubis,M,1983-07-30,lukmanlubi403@icloud.com,085195888794,RETAIL,PNS,Pekanbaru,Sumatera Utara,2013-08-24,22,True,613,40000000
95,CST000095,Vera Safitri,F,1957-05-23,verasafitr486@outlook.com,087893097289,RETAIL,Pelajar/Mahasiswa,Bekasi,Kalimantan Selatan,2023-05-22,22,True,693,47500000
96,CST000096,Hendra Santoso,M,1994-07-26,hendrasant429@yahoo.com,085736897028,RETAIL,Profesional,Cirebon,Riau,2017-01-13,17,True,889,14000000
97,CST000097,Zara Siregar,F,1985-09-17,zarasirega363@outlook.com,087873348434,RETAIL,Wirausaha,Malang,Sumatera Utara,2022-04-03,16,True,878,49000000
98,CST000098,Feni Prasetyo,F,2003-09-25,fenipraset918@mail.com,085224041574,RETAIL,Wirausaha,Depok,Kalimantan Selatan,2018-07-08,18,True,687,47500000
99,CST000099,Ayu Prasetyo,F,1976-06-19,ayuprasety52@icloud.com,082230165712,RETAIL,Karyawan Swasta,Denpasar,Kalimantan Timur,2015-06-10,16,True,502,21000000
100,CST000100,Feni Simanjuntak,F,1960-04-22,fenisimanj668@icloud.com,082280262067,RETAIL,Pensiunan,Surabaya,DKI Jakarta,2012-01-03,10,True,454,24000000
101,CST000101,Kartika Simanjuntak,F,2003-09-28,kartikasim506@yahoo.com,087774315274,RETAIL,PNS,Bogor,Kepulauan Riau,2021-10-05,10,True,787,15000000
102,CST000102,Umar Permata,M,1991-05-19,umarpermat528@outlook.com,081361227530,RETAIL,Wirausaha,Yogyakarta,Kepulauan Riau,2019-08-05,9,False,554,40000000
103,CST000103,Joko Simanjuntak,M,1987-04-04,jokosimanj64@gmail.com,085842684145,RETAIL,Wirausaha,Bekasi,Riau,2015-04-20,5,True,710,26500000
104,CST000104,Sari Siregar,F,1997-03-29,sarisirega822@yahoo.com,082291878519,RETAIL,Wirausaha,Pontianak,Bali,2022-01-21,5,True,837,36000000
105,CST000105,Fitri Harahap,F,1973-06-05,fitriharah501@gmail.com,087770728679,RETAIL,Ibu Rumah Tangga,Cirebon,Kepulauan Riau,2023-01-30,10,True,602,19000000
106,CST000106,Yanuar Wibowo,M,1961-07-21,yanuarwibo434@outlook.com,081380170462,RETAIL,Pelajar/Mahasiswa,Pekanbaru,Sumatera Selatan,2011-01-07,15,True,864,27000000
107,CST000107,Rina Harahap,F,2003-05-20,rinaharaha670@outlook.com,081328682300,VIP,Ibu Rumah Tangga,Cirebon,DI Yogyakarta,2012-12-25,18,True,594,17500000
108,CST000108,Putra Hidayat,M,1968-12-01,putrahiday194@gmail.com,081269033119,RETAIL,PNS,Semarang,DI Yogyakarta,2016-03-08,2,True,519,37500000
109,CST000109,Zaki Permata,M,1960-01-24,zakipermat516@outlook.com,082295995342,VIP,Wirausaha,Denpasar,Banten,2013-02-21,9,True,885,40500000
110,CST000110,Vino Harahap,M,1993-04-29,vinoharaha508@gmail.com,085268566246,RETAIL,Ibu Rumah Tangga,Semarang,Kalimantan Selatan,2022-06-20,8,True,762,12000000
111,CST000111,Zara Wijaya,F,2005-06-15,zarawijaya992@mail.com,087782634351,PRIORITY,Profesional,Bandung,Bali,2019-04-04,24,True,426,20000000
112,CST000112,Rini Lubis,F,1958-07-19,rinilubis193@icloud.com,087737354033,VIP,TNI/POLRI,Malang,Jawa Timur,2011-08-20,23,True,504,28000000
113,CST000113,Sandi Saputra,M,1980-05-24,sandisaput478@icloud.com,085244587717,RETAIL,Profesional,Depok,Sumatera Utara,2018-07-16,11,True,688,17000000
114,CST000114,Budi Hartono,M,2004-08-21,budiharton594@mail.com,085123536937,RETAIL,Profesional,Makassar,Kepulauan Riau,2023-02-06,16,False,728,50000000
115,CST000115,Kartika Rahayu,F,1986-08-06,kartikarah144@icloud.com,085828080100,RETAIL,Wirausaha,Bandung,DI Yogyakarta,2013-10-18,5,True,658,32000000
116,CST000116,Dewi Lubis,F,1998-05-08,dewilubis17@gmail.com,087786008484,RETAIL,Pelajar/Mahasiswa,Tangerang,Jawa Barat,2020-12-10,4,True,523,15000000
117,CST000117,Winda Hidayat,F,1978-12-25,windahiday81@outlook.com,085779334101,RETAIL,Pelajar/Mahasiswa,Banjarmasin,Riau,2018-11-26,2,True,759,13500000
118,CST000118,Qori Permata,M,1993-12-05,qoripermat580@gmail.com,087703397401,RETAIL,Pensiunan,Banjarmasin,Sulawesi Selatan,2017-06-06,22,True,875,23000000
119,CST000119,Hendra Nasution,M,1967-12-08,hendranasu952@gmail.com,085129396856,RETAIL,Karyawan Swasta,Bandung,Bali,2018-12-07,24,False,427,9000000
120,CST000120,Diana Anggraini,F,1961-10-26,dianaanggr620@icloud.com,087865047735,RETAIL,Pelajar/Mahasiswa,Denpasar,Jawa Tengah,2017-08-22,22,True,594,8000000
121,CST000121,Vera Setiawan,F,1961-08-05,verasetiaw275@yahoo.com,085726551104,RETAIL,Pensiunan,Medan,Jawa Tengah,2011-11-04,3,True,629,38500000
122,CST000122,Fitri Santoso,F,1963-01-15,fitrisanto568@gmail.com,087895604661,RETAIL,Wirausaha,Pontianak,Bali,2017-12-09,6,True,486,11500000
123,CST000123,Feni Hartono,F,1999-03-29,feniharton65@yahoo.com,085746471543,RETAIL,Ibu Rumah Tangga,Balikpapan,Sulawesi Selatan,2013-04-10,7,True,469,22000000
124,CST000124,Nanda Saputra,M,1989-01-30,nandasaput451@outlook.com,085792459375,RETAIL,Pelajar/Mahasiswa,Bogor,Banten,2017-05-23,24,True,651,39500000
125,CST000125,Lukman Purnomo,M,1980-02-23,lukmanpurn374@gmail.com,087839828073,RETAIL,Pensiunan,Bandung,Kalimantan Selatan,2018-10-24,14,True,471,43500000
126,CST000126,Diana Hartono,F,1968-10-29,dianaharto809@mail.com,081379796886,RETAIL,Profesional,Banjarmasin,Sulawesi Selatan,2019-06-29,21,False,455,18500000
127,CST000127,Bella Simanjuntak,F,1958-12-22,bellasiman661@mail.com,085261014388,RETAIL,Wirausaha,Yogyakarta,Sumatera Utara,2022-08-19,13,True,747,40500000
128,CST000128,Maman Santoso,M,1998-04-24,mamansanto303@mail.com,081312545738,RETAIL,Ibu Rumah Tangga,Medan,Riau,2012-05-06,24,True,563,7000000
129,CST000129,Dewi Lestari,F,1965-04-29,dewilestar870@outlook.com,081323828258,RETAIL,Ibu Rumah Tangga,Semarang,Kepulauan Riau,2010-07-05,13,True,495,43500000
130,CST000130,Indah Santoso,F,1972-09-13,indahsanto607@mail.com,085703341918,RETAIL,Profesional,Depok,Riau,2020-01-31,4,True,841,34000000
131,CST000131,Putri Purnomo,F,1990-03-20,putripurno117@outlook.com,085279249912,RETAIL,Wirausaha,Palembang,Jawa Barat,2023-03-02,6,True,472,35500000
132,CST000132,Julia Lubis,F,1967-05-15,julialubis393@mail.com,082178282742,RETAIL,Ibu Rumah Tangga,Balikpapan,DKI Jakarta,2022-11-22,12,False,648,11500000
133,CST000133,Bagas Purnomo,M,2005-05-19,bagaspurno669@mail.com,085776772190,RETAIL,Wirausaha,Palembang,DKI Jakarta,2021-05-03,9,True,547,13500000
134,CST000134,Olga Manurung,F,1999-06-09,olgamanuru524@gmail.com,087814858078,RETAIL,Pelajar/Mahasiswa,Medan,DI Yogyakarta,2022-05-01,21,True,552,5000000
135,CST000135,Eka Hidayat,F,1962-10-21,ekahidayat887@gmail.com,082239596292,RETAIL,Wirausaha,Surabaya,Sulawesi Selatan,2019-11-06,12,True,705,37000000
136,CST000136,Lukman Panjaitan,M,1981-04-03,lukmanpanj587@outlook.com,087712604223,RETAIL,Profesional,Semarang,Kepulauan Riau,2016-06-28,22,True,472,39500000
137,CST000137,Qita Wahyudi,F,1988-08-28,qitawahyud78@gmail.com,085784577590,PRIORITY,TNI/POLRI,Yogyakarta,Kalimantan Timur,2020-02-20,22,True,835,7000000
138,CST000138,Citra Wahyudi,F,1974-01-02,citrawahyu275@outlook.com,085158929750,RETAIL,Ibu Rumah Tangga,Jakarta,Jawa Barat,2021-02-04,6,True,400,30000000
139,CST000139,Xander Susanto,M,1982-01-30,xandersusa896@outlook.com,081354152064,RETAIL,Wirausaha,Denpasar,Kalimantan Timur,2013-07-26,3,True,400,16500000
140,CST000140,Rina Susanto,F,1975-04-17,rinasusant697@mail.com,081205162713,RETAIL,TNI/POLRI,Medan,Sumatera Utara,2021-08-26,12,True,470,27000000
141,CST000141,Vino Harahap,M,1967-10-26,vinoharaha544@icloud.com,081292753269,RETAIL,Wirausaha,Bandung,Jawa Barat,2011-07-15,5,True,701,49500000
142,CST000142,Hana Wahyudi,F,1983-03-20,hanawahyud254@outlook.com,081338999404,RETAIL,Wirausaha,Batam,Banten,2013-02-19,21,True,859,18000000
143,CST000143,Indah Prasetyo,F,1976-08-17,indahprase654@icloud.com,081380552696,RETAIL,Karyawan Swasta,Malang,Kepulauan Riau,2021-03-16,3,True,434,3500000
144,CST000144,Citra Wijaya,F,1960-06-04,citrawijay519@outlook.com,087766618892,RETAIL,Pensiunan,Bandung,Bali,2018-12-05,7,False,479,37000000
145,CST000145,Indah Nasution,F,1960-12-06,indahnasut716@mail.com,082203161799,RETAIL,Karyawan Swasta,Medan,DKI Jakarta,2016-12-15,23,True,405,13000000
146,CST000146,Hana Hermawan,F,2001-05-27,hanahermaw171@outlook.com,082141056481,RETAIL,TNI/POLRI,Malang,Riau,2015-10-25,17,True,655,39000000
147,CST000147,Maman Rahayu,M,1977-11-20,mamanrahay916@icloud.com,081338000307,RETAIL,Karyawan Swasta,Tangerang,Kalimantan Selatan,2012-04-22,2,True,867,48500000
148,CST000148,Diana Saputra,F,1977-04-10,dianasaput938@outlook.com,085119518023,PRIORITY,PNS,Batam,Jawa Barat,2019-05-03,15,True,796,22500000
149,CST000149,Rina Siregar,F,1995-12-23,rinasirega378@yahoo.com,085194937597,VIP,Wirausaha,Banjarmasin,Kepulauan Riau,2010-03-07,8,True,877,29000000
150,CST000150,Ivan Siregar,M,1986-01-29,ivansirega974@outlook.com,081264138367,VIP,Karyawan Swasta,Makassar,Jawa Barat,2010-03-20,2,False,859,36000000
151,CST000151,Sari Safitri,F,1988-06-01,sarisafitr998@gmail.com,087818261990,RETAIL,Karyawan Swasta,Semarang,Banten,2020-04-13,9,True,874,28000000
152,CST000152,Gita Mulyono,F,1979-05-26,gitamulyon77@yahoo.com,082191212775,RETAIL,Profesional,Depok,Riau,2015-03-29,10,True,836,10500000
153,CST000153,Fajar Lestari,M,1982-04-17,fajarlesta42@yahoo.com,085221356804,RETAIL,Karyawan Swasta,Jakarta,Sumatera Selatan,2023-07-14,15,True,681,18500000
154,CST000154,Putra Prasetyo,M,1967-07-17,putraprase13@gmail.com,082223651994,PRIORITY,TNI/POLRI,Jakarta,Jawa Barat,2012-09-21,7,False,627,11000000
