account_id,account_no,account_type,product_name,currency,open_date,close_date,status,interest_rate,customer_id,branch_id
39,00000000039,DEPOSITO,Deposito 12 Bulan,IDR,2023-03-04,,ACTIVE,4.49,28,15
40,00000000040,GIRO,Giro Bisnis,IDR,2016-12-15,,ACTIVE,5.04,29,5
41,00000000041,DEPOSITO,Deposito 3 Bulan,IDR,2010-11-30,,ACTIVE,4.44,29,5
42,00000000042,GIRO,Giro Bisnis,IDR,2013-02-21,,ACTIVE,6.91,30,7
43,00000000043,TABUNGAN,Tabungan Junior,IDR,2021-10-02,,ACTIVE,5.91,31,14
44,00000000044,TABUNGAN,Tabungan Online,IDR,2015-11-06,,ACTIVE,4.75,32,20
45,00000000045,TABUNGAN,Tabungan Junior,IDR,2010-10-13,,DORMANT,4.34,32,20
46,00000000046,DEPOSITO,Deposito 12 Bulan,IDR,2022-03-13,,ACTIVE,2.71,33,25
47,00000000047,DEPOSITO,Deposito 12 Bulan,IDR,2018-06-12,,ACTIVE,7.12,34,15
48,00000000048,GIRO,Giro Valas,USD,2010-04-24,,ACTIVE,7.29,35,12
49,00000000049,DEPOSITO,Deposito 1 Bulan,IDR,2012-04-20,,ACTIVE,2.56,36,16
50,00000000050,DEPOSITO,Deposito 1 Bulan,IDR,2012-06-08,,ACTIVE,2.27,36,16
51,00000000051,TABUNGAN,Tabungan Junior,IDR,2019-03-04,,ACTIVE,1.58,36,16
52,00000000052,GIRO,Giro Bisnis,IDR,2012-06-03,,ACTIVE,1.71,37,10
53,00000000053,DEPOSITO,Deposito 6 Bulan,IDR,2017-12-15,,ACTIVE,4.39,38,8
54,00000000054,DEPOSITO,Deposito 12 Bulan,IDR,2021-05-04,,DORMANT,5.06,38,8
55,00000000055,TABUNGAN,Tabungan Online,IDR,2021-02-15,,ACTIVE,3.18,39,19
56,00000000056,TABUNGAN,Tabungan Bisnis,IDR,2015-12-12,,ACTIVE,2.83,40,19
57,00000000057,TABUNGAN,Tabungan Bisnis,IDR,2015-11-21,,ACTIVE,7.28,40,19
58,00000000058,DEPOSITO,Deposito 12 Bulan,IDR,2024-03-12,,ACTIVE,7.4,40,19
59,00000000059,DEPOSITO,Deposito 12 Bulan,IDR,2012-07-27,,ACTIVE,4.04,41,14
60,00000000060,TABUNGAN,Tabungan Junior,IDR,2010-06-21,,ACTIVE,7.02,42,20
61,00000000061,TABUNGAN,Tabungan Online,IDR,2017-01-03,,ACTIVE,6.11,42,20
62,00000000062,TABUNGAN,Tabungan Bisnis,IDR,2016-12-22,,ACTIVE,5.36,43,4
63,00000000063,TABUNGAN,Tabungan Bisnis,IDR,2016-05-02,,ACTIVE,1.88,44,25
64,00000000064,GIRO,Giro Reguler,IDR,2013-06-02,,DORMANT,6.54,45,7
65,00000000065,TABUNGAN,Tabungan Reguler,IDR,2017-09-24,,ACTIVE,7.01,45,7
66,00000000066,TABUNGAN,Tabungan Bisnis,IDR,2013-03-04,,ACTIVE,4.29,46,15
67,00000000067,TABUNGAN,Tabungan Junior,IDR,2021-06-14,,ACTIVE,3.8,46,15
68,00000000068,TABUNGAN,Tabungan Junior,IDR,2014-08-11,,ACTIVE,4.21,47,3
69,00000000069,TABUNGAN,Tabungan Junior,IDR,2013-05-25,,ACTIVE,6.65,48,3
70,00000000070,GIRO,Giro Bisnis,IDR,2019-08-20,,ACTIVE,4.05,49,23
71,00000000071,TABUNGAN,Tabungan Bisnis,IDR,2023-01-09,,ACTIVE,3.62,50,16
72,00000000072,TABUNGAN,Tabungan Bisnis,IDR,2023-02-02,,ACTIVE,6.01,51,11
73,00000000073,TABUNGAN,Tabungan Online,IDR,2019-05-10,,ACTIVE,5.59,51,11
74,00000000074,GIRO,Giro Valas,USD,2021-04-26,,ACTIVE,5.31,52,22
75,00000000075,TABUNGAN,Tabungan Online,IDR,2019-01-26,,ACTIVE,1.81,52,22
76,00000000076,GIRO,Giro Valas,IDR,2012-10-08,,ACTIVE,3.89,53,21
77,00000000077,TABUNGAN,Tabungan Junior,IDR,2015-06-17,,ACTIVE,1.83,54,24
78,00000000078,TABUNGAN,Tabungan Reguler,IDR,2012-02-25,,ACTIVE,6.22,55,15
79,00000000079,GIRO,Giro Reguler,IDR,2013-01-12,,ACTIVE,4.2,56,5
80,00000000080,DEPOSITO,Deposito 3 Bulan,IDR,2024-06-15,,ACTIVE,5.92,57,25
81,00000000081,TABUNGAN,Tabungan Reguler,IDR,2022-08-21,,ACTIVE,6.16,57,25
82,00000000082,DEPOSITO,Deposito 12 Bulan,IDR,2011-11-23,2020-05-12,CLOSED,3.44,58,3
83,00000000083,TABUNGAN,Tabungan Bisnis,IDR,2015-04-15,,ACTIVE,7.15,58,3
84,00000000084,TABUNGAN,Tabungan Online,IDR,2013-03-21,,ACTIVE,1.51,59,24
85,00000000085,TABUNGAN,Tabungan Junior,IDR,2012-05-08,,ACTIVE,7.23,60,22
86,00000000086,TABUNGAN,Tabungan Online,IDR,2015-06-28,,ACTIVE,2.52,60,22
87,00000000087,TABUNGAN,Tabungan Online,IDR,2017-03-31,,ACTIVE,1.45,60,22
88,00000000088,DEPOSITO,Deposito 12 Bulan,IDR,2011-06-11,2025-02-28,CLOSED,1.79,61,14
89,00000000089,GIRO,Giro Bisnis,IDR,2021-11-28,,ACTIVE,3.43,61,14
90,00000000090,GIRO,Giro Valas,IDR,2022-07-01,,ACTIVE,0.79,62,17
91,00000000091,GIRO,Giro Valas,USD,2014-05-25,,ACTIVE,2.46,63,15
92,00000000092,TABUNGAN,Tabungan Reguler,IDR,2022-12-23,2024-09-16,CLOSED,7.18,63,15
93,00000000093,TABUNGAN,Tabungan Online,IDR,2011-03-03,,ACTIVE,3.88,63,15
94,00000000094,TABUNGAN,Tabungan Bisnis,IDR,2021-01-17,,ACTIVE,4.16,64,9
95,00000000095,DEPOSITO,Deposito 1 Bulan,IDR,2021-11-17,,ACTIVE,4.23,64,9
96,00000000096,TABUNGAN,Tabungan Junior,IDR,2013-06-04,,ACTIVE,5.19,65,14
97,00000000097,TABUNGAN,Tabungan Reguler,IDR,2017-05-10,,ACTIVE,5.23,65,14
98,00000000098,TABUNGAN,Tabungan Bisnis,IDR,2020-12-22,,ACTIVE,4.04,66,10
99,00000000099,TABUNGAN,Tabungan Online,IDR,2018-02-05,,ACTIVE,6.2,67,21
100,00000000100,DEPOSITO,Deposito 6 Bulan,IDR,2013-11-23,,ACTIVE,3.38,68,15
101,00000000101,DEPOSITO,Deposito 6 Bulan,IDR,2021-09-26,,ACTIVE,3.06,68,15
102,00000000102,TABUNGAN,Tabungan Online,IDR,2022-03-16,,ACTIVE,5.69,69,4
103,00000000103,TABUNGAN,Tabungan Junior,IDR,2023-11-04,,ACTIVE,1.16,70,2
104,00000000104,TABUNGAN,Tabungan Reguler,IDR,2015-02-03,,ACTIVE,1.27,70,2
105,00000000105,GIRO,Giro Reguler,IDR,2023-01-09,,ACTIVE,3.34,71,13
106,00000000106,TABUNGAN,Tabungan Junior,IDR,2023-11-12,,ACTIVE,7.05,71,13
107,00000000107,TABUNGAN,Tabungan Junior,IDR,2018-08-06,,ACTIVE,2.43,72,25
108,00000000108,GIRO,Giro Bisnis,IDR,2015-02-01,,ACTIVE,4.35,73,18
109,00000000109,TABUNGAN,Tabungan Reguler,IDR,2014-04-08,,ACTIVE,1.35,73,18
110,00000000110,TABUNGAN,Tabungan Bisnis,IDR,2017-02-05,,ACTIVE,4.73,74,4
111,00000000111,DEPOSITO,Deposito 1 Bulan,IDR,2018-02-13,2018-12-11,CLOSED,6.31,74,4
112,00000000112,GIRO,Giro Reguler,IDR,2019-11-22,,ACTIVE,3.42,75,3
113,00000000113,TABUNGAN,Tabungan Reguler,IDR,2018-03-08,,ACTIVE,3.03,75,3
114,00000000114,TABUNGAN,Tabungan Junior,IDR,2010-08-19,,DORMANT,5.98,76,20
115,00000000115,TABUNGAN,Tabungan Bisnis,IDR,2011-03-22,,ACTIVE,2.56,77,1
116,00000000116,TABUNGAN,Tabungan Online,IDR,2018-03-20,,ACTIVE,2.61,78,24
117,00000000117,GIRO,Giro Reguler,IDR,2011-12-02,,ACTIVE,6.55,79,10
118,00000000118,DEPOSITO,Deposito 6 Bulan,IDR,2021-01-23,,DORMANT,2.71,80,24
119,00000000119,GIRO,Giro Valas,IDR,2021-09-21,,ACTIVE,3.31,80,24
120,00000000120,TABUNGAN,Tabungan Reguler,IDR,2012-03-19,,DORMANT,1.16,81,10
121,00000000121,TABUNGAN,Tabungan Reguler,IDR,2013-08-24,,ACTIVE,4.01,81,10
122,00000000122,TABUNGAN,Tabungan Reguler,IDR,2019-05-05,,DORMANT,3.61,82,20
123,00000000123,GIRO,Giro Reguler,IDR,2015-12-01,,ACTIVE,2.75,82,20
124,00000000124,TABUNGAN,Tabungan Online,IDR,2011-03-15,,ACTIVE,2.28,82,20
125,00000000125,TABUNGAN,Tabungan Reguler,IDR,2021-01-21,,ACTIVE,1.94,83,21
126,00000000126,TABUNGAN,Tabungan Junior,IDR,2012-07-17,,ACTIVE,6.5,83,21
127,00000000127,DEPOSITO,Deposito 1 Bulan,IDR,2024-02-29,,ACTIVE,2.21,84,23
128,00000000128,TABUNGAN,Tabungan Bisnis,USD,2020-07-18,,ACTIVE,0.59,84,23
129,00000000129,TABUNGAN,Tabungan Junior,IDR,2017-02-11,,ACTIVE,5.47,85,18
130,00000000130,DEPOSITO,Deposito 1 Bulan,IDR,2013-05-01,,ACTIVE,1.94,86,25
131,00000000131,TABUNGAN,Tabungan Reguler,IDR,2016-10-17,,ACTIVE,7.49,86,25
132,00000000132,TABUNGAN,Tabungan Junior,IDR,2018-11-17,,ACTIVE,1.52,87,10
133,00000000133,TABUNGAN,Tabungan Bisnis,IDR,2024-06-13,,ACTIVE,1.05,88,1
134,00000000134,TABUNGAN,Tabungan Bisnis,IDR,2018-12-24,,ACTIVE,4.79,89,23
135,00000000135,TABUNGAN,Tabungan Online,IDR,2016-04-05,,ACTIVE,6.42,89,23
136,00000000136,GIRO,Giro Bisnis,IDR,2016-06-06,,DORMANT,1.19,89,23
137,00000000137,TABUNGAN,Tabungan Reguler,IDR,2023-01-08,,ACTIVE,5.02,90,8
138,00000000138,TABUNGAN,Tabungan Reguler,IDR,2014-10-13,,ACTIVE,2.53,91,12
139,00000000139,TABUNGAN,Tabungan Reguler,IDR,2024-03-11,,ACTIVE,6.43,92,17
140,00000000140,GIRO,Giro Valas,IDR,2022-01-05,,ACTIVE,3.13,93,16
141,00000000141,DEPOSITO,Deposito 6 Bulan,IDR,2015-02-07,,ACTIVE,4.94,94,22
142,00000000142,TABUNGAN,Tabungan Online,IDR,2020-12-15,,ACTIVE,2.06,95,22
143,00000000143,DEPOSITO,Deposito 12 Bulan,IDR,2020-07-07,,ACTIVE,4.01,95,22
144,00000000144,TABUNGAN,Tabungan Bisnis,IDR,2013-07-03,,ACTIVE,6.16,95,22
145,00000000145,TABUNGAN,Tabungan Reguler,IDR,2011-02-04,,ACTIVE,0.63,96,17
146,00000000146,TABUNGAN,Tabungan Online,IDR,2021-08-17,,ACTIVE,2.38,96,17
147,00000000147,DEPOSITO,Deposito 1 Bulan,IDR,2018-01-15,,ACTIVE,7.07,97,16
148,00000000148,TABUNGAN,Tabungan Junior,IDR,2020-11-01,,ACTIVE,3.63,98,18
149,00000000149,GIRO,Giro Valas,IDR,2021-05-02,2022-06-26,CLOSED,4.74,99,16
150,00000000150,TABUNGAN,Tabungan Reguler,IDR,2011-09-23,,ACTIVE,2.39,100,10
151,00000000151,GIRO,Giro Valas,IDR,2013-12-25,,ACTIVE,0.68,100,10
152,00000000152,TABUNGAN,Tabungan Junior,IDR,2018-10-31,,ACTIVE,7.22,101,10
153,00000000153,TABUNGAN,Tabungan Bisnis,IDR,2020-04-29,,ACTIVE,1.54,101,10
154,00000000154,TABUNGAN,Tabungan Reguler,IDR,2014-09-14,,ACTIVE,3.99,101,10
155,00000000155,TABUNGAN,Tabungan Online,IDR,2021-08-23,,ACTIVE,3.72,102,9
156,00000000156,TABUNGAN,Tabungan Junior,IDR,2012-01-24,,ACTIVE,1.82,103,5
157,00000000157,GIRO,Giro Bisnis,IDR,2015-03-20,,ACTIVE,5.23,104,5
158,00000000158,TABUNGAN,Tabungan Junior,IDR,2010-04-08,,ACTIVE,6.77,105,10
159,00000000159,TABUNGAN,Tabungan Bisnis,IDR,2021-05-26,,ACTIVE,6.52,106,15
160,00000000160,DEPOSITO,Deposito 6 Bulan,IDR,2013-01-18,,ACTIVE,4.99,107,18
161,00000000161,DEPOSITO,Deposito 12 Bulan,IDR,2018-03-03,,ACTIVE,5.44,108,2
162,00000000162,TABUNGAN,Tabungan Junior,IDR,2018-11-13,,ACTIVE,2.94,108,2
163,00000000163,TABUNGAN,Tabungan Reguler,IDR,2014-12-28,,ACTIVE,6.83,108,2
164,00000000164,TABUNGAN,Tabungan Reguler,IDR,2011-11-28,,ACTIVE,1.02,109,9
165,00000000165,TABUNGAN,Tabungan Junior,IDR,2012-05-25,2019-10-04,CLOSED,5.85,110,8
166,00000000166,TABUNGAN,Tabungan Online,USD,2013-12-30,,ACTIVE,4.18,110,8
167,00000000167,TABUNGAN,Tabungan Junior,IDR,2012-04-28,,ACTIVE,2.1,111,24
168,00000000168,TABUNGAN,Tabungan Junior,IDR,2010-10-01,,ACTIVE,5.43,111,24
169,00000000169,TABUNGAN,Tabungan Reguler,IDR,2022-11-28,,ACTIVE,4.19,112,23
170,00000000170,TABUNGAN,Tabungan Junior,IDR,2022-08-08,,ACTIVE,2.08,112,23
171,00000000171,GIRO,Giro Bisnis,IDR,2022-06-04,,ACTIVE,4.82,113,11
172,00000000172,DEPOSITO,Deposito 6 Bulan,IDR,2014-09-10,,ACTIVE,6.98,113,11
173,00000000173,DEPOSITO,Deposito 3 Bulan,IDR,2016-10-06,,ACTIVE,4.97,113,11
174,00000000174,GIRO,Giro Reguler,IDR,2015-03-10,,ACTIVE,0.93,114,16
175,00000000175,TABUNGAN,Tabungan Junior,IDR,2022-11-23,,ACTIVE,2.66,114,16
176,00000000176,GIRO,Giro Reguler,IDR,2020-12-13,,DORMANT,6.93,114,16
177,00000000177,DEPOSITO,Deposito 3 Bulan,IDR,2021-08-20,,ACTIVE,1.21,115,5
178,00000000178,DEPOSITO,Deposito 3 Bulan,IDR,2010-08-13,,ACTIVE,4.12,116,4
179,00000000179,TABUNGAN,Tabungan Online,IDR,2021-12-31,,ACTIVE,1.66,117,2
180,00000000180,GIRO,Giro Reguler,USD,2017-12-10,,ACTIVE,2.56,118,22
181,00000000181,TABUNGAN,Tabungan Online,IDR,2014-11-08,,ACTIVE,3.41,119,24
182,00000000182,TABUNGAN,Tabungan Online,IDR,2024-06-16,,DORMANT,1.13,120,22
183,00000000183,DEPOSITO,Deposito 1 Bulan,USD,2011-07-20,,DORMANT,4.63,120,22
184,00000000184,TABUNGAN,Tabungan Online,IDR,2010-07-29,,ACTIVE,1.83,121,3
185,00000000185,TABUNGAN,Tabungan Reguler,USD,2020-12-08,,ACTIVE,7.14,122,6
186,00000000186,GIRO,Giro Reguler,IDR,2022-11-01,,ACTIVE,4.27,122,6
187,00000000187,TABUNGAN,Tabungan Bisnis,IDR,2010-04-30,,ACTIVE,1.51,123,7
188,00000000188,TABUNGAN,Tabungan Bisnis,IDR,2016-01-24,,ACTIVE,2.39,124,24
189,00000000189,TABUNGAN,Tabungan Bisnis,IDR,2018-01-29,,ACTIVE,2.8,125,14
190,00000000190,DEPOSITO,Deposito 3 Bulan,IDR,2010-07-17,,DORMANT,3.59,126,21
191,00000000191,TABUNGAN,Tabungan Junior,IDR,2010-07-18,,ACTIVE,0.74,127,13
192,00000000192,TABUNGAN,Tabungan Reguler,IDR,2020-09-10,,ACTIVE,7.33,127,13
193,00000000193,DEPOSITO,Deposito 12 Bulan,IDR,2012-03-19,,ACTIVE,7.04,128,24
194,00000000194,TABUNGAN,Tabungan Online,USD,2019-10-08,,ACTIVE,5.53,129,13
195,00000000195,GIRO,Giro Reguler,IDR,2015-11-29,,ACTIVE,0.89,130,4
196,00000000196,TABUNGAN,Tabungan Bisnis,IDR,2011-11-27,,ACTIVE,3.44,130,4
197,00000000197,TABUNGAN,Tabungan Junior,IDR,2010-03-20,,ACTIVE,5.02,131,6
198,00000000198,TABUNGAN,Tabungan Junior,IDR,2023-06-28,,DORMANT,1.0,131,6
199,00000000199,TABUNGAN,Tabungan Bisnis,IDR,2016-10-19,,ACTIVE,3.21,132,12
200,00000000200,GIRO,Giro Bisnis,IDR,2010-06-06,,ACTIVE,3.53,132,12
201,00000000201,TABUNGAN,Tabungan Reguler,IDR,2010-02-15,,ACTIVE,0.66,133,9
202,00000000202,TABUNGAN,Tabungan Online,IDR,2018-01-18,,ACTIVE,2.57,134,21
203,00000000203,DEPOSITO,Deposito 6 Bulan,IDR,2019-11-20,,ACTIVE,6.77,134,21
204,00000000204,TABUNGAN,Tabungan Junior,IDR,2016-04-29,,ACTIVE,1.08,135,12
205,00000000205,TABUNGAN,Tabungan Reguler,IDR,2020-07-21,,ACTIVE,1.69,136,22
206,00000000206,GIRO,Giro Valas,IDR,2017-11-30,,ACTIVE,1.32,137,22
207,00000000207,DEPOSITO,Deposito 6 Bulan,IDR,2017-05-26,,ACTIVE,0.65,137,22
208,00000000208,TABUNGAN,Tabungan Online,IDR,2021-02-25,,ACTIVE,6.13,138,6
209,00000000209,GIRO,Giro Reguler,IDR,2014-03-26,,ACTIVE,6.75,138,6
210,00000000210,TABUNGAN,Tabungan Online,IDR,2015-07-21,,ACTIVE,3.04,139,3
211,00000000211,GIRO,Giro Bisnis,IDR,2012-03-27,,ACTIVE,4.66,139,3
212,00000000212,DEPOSITO,Deposito 3 Bulan,IDR,2023-08-13,,ACTIVE,7.09,140,12
213,00000000213,TABUNGAN,Tabungan Reguler,IDR,2021-05-28,,ACTIVE,6.07,141,5
214,00000000214,TABUNGAN,Tabungan Bisnis,IDR,2016-02-06,,DORMANT,4.67,142,21
215,00000000215,TABUNGAN,Tabungan Bisnis,USD,2022-12-21,,ACTIVE,6.51,142,21
216,00000000216,TABUNGAN,Tabungan Bisnis,IDR,2021-11-22,,ACTIVE,5.12,143,3
217,00000000217,GIRO,Giro Valas,IDR,2017-08-15,,ACTIVE,6.67,143,3
218,00000000218,DEPOSITO,Deposito 6 Bulan,IDR,2013-06-21,,ACTIVE,4.02,143,3
219,00000000219,GIRO,Giro Valas,IDR,2015-06-22,,ACTIVE,3.43,144,7
220,00000000220,DEPOSITO,Deposito 12 Bulan,IDR,2020-07-17,,ACTIVE,2.42,145,23
221,00000000221,TABUNGAN,Tabungan Online,IDR,2022-08-17,,ACTIVE,4.27,146,17
222,00000000222,GIRO,Giro Bisnis,IDR,2019-10-06,,DORMANT,5.77,147,2
223,00000000223,TABUNGAN,Tabungan Junior,IDR,2023-03-13,,ACTIVE,6.37,148,15
224,00000000224,TABUNGAN,Tabungan Junior,IDR,2017-09-06,,ACTIVE,4.56,148,15
225,00000000225,TABUNGAN,Tabungan Online,IDR,2021-11-28,,ACTIVE,4.53,149,8
226,00000000226,TABUNGAN,Tabungan Online,IDR,2024-02-04,,ACTIVE,6.74,149,8
227,00000000227,GIRO,Giro Bisnis,IDR,2020-11-16,2022-07-29,CLOSED,3.84,150,2
228,00000000228,TABUNGAN,Tabungan Online,IDR,2016-02-04,2025-02-13,CLOSED,3.78,151,9
229,00000000229,TABUNGAN,Tabungan Reguler,IDR,2018-03-11,,ACTIVE,7.24,152,10
230,00000000230,TABUNGAN,Tabungan Bisnis,IDR,2023-11-09,,ACTIVE,3.09,152,10
231,00000000231,TABUNGAN,Tabungan Bisnis,IDR,2021-01-02,,ACTIVE,3.0,152,10
232,00000000232,GIRO,Giro Valas,IDR,2018-10-03,,ACTIVE,2.87,153,15
233,00000000233,TABUNGAN,Tabungan Reguler,USD,2014-02-14,2021-08-11,CLOSED,6.79,153,15
234,00000000234,TABUNGAN,Tabungan Online,IDR,2020-01-29,,ACTIVE,5.37,154,7
235,00000000235,TABUNGAN,Tabungan Bisnis,IDR,2020-08-25,,ACTIVE,3.99,154,7
236,00000000236,DEPOSITO,Deposito 3 Bulan,IDR,2023-01-13,,ACTIVE,3.48,154,7
237,00000000237,TABUNGAN,Tabungan Reguler,IDR,2019-03-11,,ACTIVE,3.75,155,9
238,00000000238,TABUNGAN,Tabungan Bisnis,IDR,2015-12-05,,ACTIVE,0.9,156,23
239,00000000239,GIRO,Giro Reguler,IDR,2023-07-13,,ACTIVE,3.97,156,23
240,00000000240,DEPOSITO,Deposito 12 Bulan,IDR,2015-09-29,,DORMANT,4.45,157,8
241,00000000241,TABUNGAN,Tabungan Junior,IDR,2023-02-25,,ACTIVE,2.84,157,8
242,00000000242,GIRO,Giro Reguler,IDR,2013-11-23,,ACTIVE,4.75,158,10
243,00000000243,TABUNGAN,Tabungan Reguler,IDR,2019-07-31,,ACTIVE,1.96,158,10
244,00000000244,TABUNGAN,Tabungan Junior,IDR,2010-06-23,,ACTIVE,2.66,159,17
245,00000000245,TABUNGAN,Tabungan Online,IDR,2013-03-04,,ACTIVE,7.41,160,19
246,00000000246,DEPOSITO,Deposito 6 Bulan,IDR,2013-12-09,,ACTIVE,0.53,160,19
247,00000000247,DEPOSITO,Deposito 1 Bulan,IDR,2024-04-29,,ACTIVE,4.51,161,11
248,00000000248,TABUNGAN,Tabungan Reguler,IDR,2019-06-07,,DORMANT,4.3,161,11
249,00000000249,DEPOSITO,Deposito 6 Bulan,IDR,2012-02-13,,ACTIVE,1.07,162,18
250,00000000250,TABUNGAN,Tabungan Reguler,USD,2015-03-04,,ACTIVE,3.19,163,20
251,00000000251,GIRO,Giro Reguler,IDR,2024-06-30,,DORMANT,2.53,164,18
252,00000000252,TABUNGAN,Tabungan Bisnis,IDR,2020-10-20,,ACTIVE,2.6,165,16
253,00000000253,GIRO,Giro Valas,IDR,2015-05-31,,ACTIVE,5.65,166,12
254,00000000254,TABUNGAN,Tabungan Junior,IDR,2020-01-23,,ACTIVE,3.68,167,15
255,00000000255,TABUNGAN,Tabungan Reguler,IDR,2018-12-30,,ACTIVE,1.89,168,15
256,00000000256,DEPOSITO,Deposito 6 Bulan,IDR,2023-08-08,,ACTIVE,2.22,169,16
257,00000000257,GIRO,Giro Valas,IDR,2022-07-11,,ACTIVE,5.64,170,8
258,00000000258,DEPOSITO,Deposito 1 Bulan,IDR,2022-10-09,,ACTIVE,7.27,171,17
259,00000000259,GIRO,Giro Bisnis,IDR,2013-09-19,,ACTIVE,3.18,171,17
260,00000000260,TABUNGAN,Tabungan Junior,IDR,2016-08-10,2020-11-11,CLOSED,6.56,172,8
261,00000000261,GIRO,Giro Valas,IDR,2017-01-12,,ACTIVE,3.9,172,8
262,00000000262,DEPOSITO,Deposito 6 Bulan,IDR,2011-02-16,,ACTIVE,6.77,173,9
263,00000000263,TABUNGAN,Tabungan Bisnis,IDR,2022-09-18,,ACTIVE,3.69,174,17
264,00000000264,TABUNGAN,Tabungan Reguler,IDR,2019-06-22,,ACTIVE,6.1,175,21
265,00000000265,TABUNGAN,Tabungan Junior,IDR,2010-09-03,,DORMANT,5.13,175,21
266,00000000266,TABUNGAN,Tabungan Bisnis,IDR,2012-07-21,,ACTIVE,2.08,175,21
267,00000000267,TABUNGAN,Tabungan Reguler,IDR,2020-09-13,,ACTIVE,7.41,176,23
268,00000000268,GIRO,Giro Reguler,IDR,2016-03-04,,ACTIVE,3.4,176,23
269,00000000269,GIRO,Giro Valas,IDR,2015-03-26,2016-05-23,CLOSED,7.49,177,8
270,00000000270,GIRO,Giro Reguler,IDR,2014-10-12,,ACTIVE,4.94,178,22
271,00000000271,TABUNGAN,Tabungan Reguler,IDR,2011-11-15,,ACTIVE,2.53,178,22
